compliance_id,mine_id,compliance_code,category,authority,regulation_name,requirement,applicability,frequency,issue_date,due_date,expiry_date,responsible_officer_role,status,priority,evidence_required,source_rule_reference,data_source,data_note
CMP-M001-001,M001,SAF-01,Safety,DGMS,"Coal Mines Regulations, 2017",General mine safety inspection & statutory records,ALL,MONTHLY,2026-07-26,2026-08-30,2026-09-09,Safety Officer,NON_COMPLIANT,CRITICAL,Inspection records,"Coal Mines Regulations, 2017 / demo applicability mapping",DEMO_SYNTHETIC,Dates/statuses are synthetic; not official statutory determinations
CMP-M001-002,M001,SAF-02,Safety,DGMS,"Mines Vocational Training Rules, 1966",Vocational/refresher training validity,ALL,MONTHLY,2025-08-11,2026-09-17,2027-01-11,Training Officer,DUE_SOON,HIGH,Training certificates,"Mines Vocational Training Rules, 1966 / demo applicability mapping",DEMO_SYNTHETIC,Dates/statuses are synthetic; not official statutory determinations
CMP-M001-003,M001,SAF-03,Safety,DGMS,"Mines Rescue Rules, 1985",Emergency/rescue preparedness review,"UNDERGROUND,MIXED",QUARTERLY,2025-07-29,,,Safety Officer,NOT_APPLICABLE,LOW,Mock drill/rescue records,"Mines Rescue Rules, 1985 / demo applicability mapping",DEMO_SYNTHETIC,Dates/statuses are synthetic; not official statutory determinations
CMP-M001-004,M001,SAF-04,Safety,DGMS,"Coal Mines Regulations, 2017",Ventilation and mine-air monitoring review,"UNDERGROUND,MIXED",WEEKLY,2025-12-14,,,Ventilation Officer,NOT_APPLICABLE,LOW,Gas/ventilation records,"Coal Mines Regulations, 2017 / demo applicability mapping",DEMO_SYNTHETIC,Dates/statuses are synthetic; not official statutory determinations
CMP-M001-005,M001,SAF-05,Safety,DGMS,"Coal Mines Regulations, 2017",Strata/roof support inspection,"UNDERGROUND,MIXED",WEEKLY,2025-05-26,,,Safety Officer,NOT_APPLICABLE,LOW,Strata evidence,"Coal Mines Regulations, 2017 / demo applicability mapping",DEMO_SYNTHETIC,Dates/statuses are synthetic; not official statutory determinations
CMP-M001-006,M001,SAF-06,Safety,DGMS,"Coal Mines Regulations, 2017",Slope/dump/highwall safety inspection,"OPENCAST,MIXED",WEEKLY,2025-09-14,2027-02-18,2027-03-12,Safety Officer,COMPLIANT,MEDIUM,Geotechnical evidence,"Coal Mines Regulations, 2017 / demo applicability mapping",DEMO_SYNTHETIC,Dates/statuses are synthetic; not official statutory determinations
CMP-M001-007,M001,ENV-01,Environment,MoEFCC/PARIVESH,Environmental Clearance Conditions,Environmental clearance condition compliance,ALL,HALF_YEARLY,2026-07-18,2026-07-29,2026-09-14,Environment Officer,OVERDUE,HIGH,EC compliance report,Environmental Clearance Conditions / demo applicability mapping,DEMO_SYNTHETIC,Dates/statuses are synthetic; not official statutory determinations
CMP-M001-008,M001,ENV-02,Environment,State Pollution Control Board,Consent to Operate Conditions,Consent to Operate validity/conditions,ALL,ANNUAL,2025-06-27,2026-08-10,2026-11-24,Environment Officer,NON_COMPLIANT,CRITICAL,CTO certificate,Consent to Operate Conditions / demo applicability mapping,DEMO_SYNTHETIC,Dates/statuses are synthetic; not official statutory determinations
CMP-M001-009,M001,ENV-03,Environment,State Pollution Control Board,Environmental Monitoring Programme,Ambient air quality monitoring,ALL,FORTNIGHTLY,2025-07-07,2026-11-28,2027-05-11,Environment Officer,COMPLIANT,MEDIUM,Air monitoring report,Environmental Monitoring Programme / demo applicability mapping,DEMO_SYNTHETIC,Dates/statuses are synthetic; not official statutory determinations
CMP-M001-010,M001,ENV-04,Environment,State Pollution Control Board,Environmental Monitoring Programme,Mine-water quality monitoring,ALL,FORTNIGHTLY,2026-01-30,2026-12-21,2027-07-04,Environment Officer,COMPLIANT,LOW,Water analysis report,Environmental Monitoring Programme / demo applicability mapping,DEMO_SYNTHETIC,Dates/statuses are synthetic; not official statutory determinations
