action_id,mine_id,violation_id,corrective_action,assigned_to_role,assigned_by_role,created_at,due_date,completed_at,status,evidence_before_count,evidence_after_count,verification_required,verified_by_role,verification_date,verification_status,escalation_level,data_source
CAPA-00001,M001,VIO-00001,Provide missing documentation and close compliance gap,Electrical Engineer,Mine Manager,2026-08-22,2026-08-25,,OVERDUE,3,0,YES,,,NOT_VERIFIED,3,WORKFLOW_DEMO
CAPA-00002,M001,VIO-00002,Rectify observed condition and upload closure evidence,Contractor Manager,Mine Manager,2026-08-03,2026-08-17,2026-08-15,PENDING_VERIFICATION,1,3,YES,Safety Officer,,PENDING,0,WORKFLOW_DEMO
CAPA-00003,M001,VIO-00003,Restore required safety/control condition and verify effectiveness,Contractor Manager,Mine Manager,2026-08-12,2026-08-19,,OVERDUE,1,0,YES,,,NOT_VERIFIED,3,WORKFLOW_DEMO
CAPA-00004,M001,VIO-00004,Rectify observed condition and upload closure evidence,Operations Supervisor,Mine Manager,2026-06-14,2026-06-21,2026-06-19,PENDING_VERIFICATION,3,2,YES,Safety Officer,,PENDING,0,WORKFLOW_DEMO
CAPA-00005,M001,VIO-00005,Conduct technical inspection and implement corrective control,Operations Supervisor,Mine Manager,2026-08-03,2026-08-10,,IN_PROGRESS,1,1,YES,,,NOT_VERIFIED,1,WORKFLOW_DEMO
CAPA-00006,M001,VIO-00006,Rectify observed condition and upload closure evidence,Safety Supervisor,Mine Manager,2026-07-07,2026-07-14,2026-07-13,PENDING_VERIFICATION,2,1,YES,Safety Officer,,PENDING,0,WORKFLOW_DEMO
CAPA-00007,M001,VIO-00007,Restrict affected area until corrective action is verified,Contractor Manager,Mine Manager,2026-07-07,2026-07-14,2026-07-15,CLOSED,3,4,YES,Safety Officer,2026-07-15,VERIFIED,0,WORKFLOW_DEMO
CAPA-00008,M002,VIO-00008,Provide missing documentation and close compliance gap,Contractor Manager,Mine Manager,2026-07-27,2026-08-10,2026-08-13,CLOSED,1,3,YES,Safety Officer,2026-08-15,VERIFIED,0,WORKFLOW_DEMO
CAPA-00009,M002,VIO-00009,Restrict affected area until corrective action is verified,Safety Supervisor,Mine Manager,2026-08-19,2026-08-20,,OVERDUE,2,0,YES,,,NOT_VERIFIED,3,WORKFLOW_DEMO
CAPA-00010,M002,VIO-00010,Restrict affected area until corrective action is verified,Mechanical Engineer,Mine Manager,2026-08-03,2026-08-06,2026-08-06,CLOSED,3,4,YES,Safety Officer,2026-08-07,VERIFIED,0,WORKFLOW_DEMO
CAPA-00011,M002,VIO-00011,Conduct technical inspection and implement corrective control,Operations Supervisor,Mine Manager,2026-08-12,2026-08-26,2026-08-29,CLOSED,1,3,YES,Safety Officer,2026-08-30,VERIFIED,0,WORKFLOW_DEMO
CAPA-00012,M002,VIO-00012,Rectify observed condition and upload closure evidence,Mechanical Engineer,Mine Manager,2026-07-01,2026-07-08,,OVERDUE,2,0,YES,,,NOT_VERIFIED,3,WORKFLOW_DEMO
