document_id,mine_id,document_type,file_name,authority,issue_date,expiry_date,uploaded_by_role,uploaded_at,file_path,extracted_text_excerpt,ocr_used,extraction_confidence,source_status,linked_compliance_id,data_source,data_note
DOC-00001,M001,Environmental Clearance,M001_environmental_clearance_01.pdf,MoEFCC/PARIVESH,2024-11-26,,Compliance Officer,2026-09-02T15:50:00,/demo_documents/M001/DOC-00001.pdf,"Synthetic extracted text for Environmental Clearance; supports OCR, parsing and compliance workflow tests.",NO,0.958,VERIFIED_DEMO,CMP-M001-001,DEMO_SYNTHETIC,Metadata/text and OCR confidence are synthetic
DOC-00002,M001,Consent to Operate,M001_consent_to_operate_02.pdf,State Pollution Control Board,2026-05-19,2027-05-19,HR Officer,2026-09-02T12:20:00,/demo_documents/M001/DOC-00002.pdf,"Synthetic extracted text for Consent to Operate; supports OCR, parsing and compliance workflow tests.",NO,0.993,VERIFIED_DEMO,CMP-M001-002,DEMO_SYNTHETIC,Metadata/text and OCR confidence are synthetic
DOC-00003,M001,Consent to Establish,M001_consent_to_establish_03.pdf,State Pollution Control Board,2025-10-15,2026-10-15,HR Officer,2026-09-02T12:20:00,/demo_documents/M001/DOC-00003.pdf,"Synthetic extracted text for Consent to Establish; supports OCR, parsing and compliance workflow tests.",NO,1.0,VERIFIED_DEMO,CMP-M001-003,DEMO_SYNTHETIC,Metadata/text and OCR confidence are synthetic
DOC-00004,M001,Mining Plan,M001_mining_plan_04.pdf,Ministry of Coal / Competent Authority,2024-10-04,,Environment Officer,2026-09-02T17:50:00,/demo_documents/M001/DOC-00004.pdf,"Synthetic extracted text for Mining Plan; supports OCR, parsing and compliance workflow tests.",YES,0.721,NEEDS_REVIEW,CMP-M001-004,DEMO_SYNTHETIC,Metadata/text and OCR confidence are synthetic
DOC-00005,M001,Mine Closure Plan,M001_mine_closure_plan_05.pdf,Ministry of Coal / Competent Authority,2025-06-08,,Environment Officer,2026-09-02T10:00:00,/demo_documents/M001/DOC-00005.pdf,"Synthetic extracted text for Mine Closure Plan; supports OCR, parsing and compliance workflow tests.",NO,0.954,VERIFIED_DEMO,CMP-M001-005,DEMO_SYNTHETIC,Metadata/text and OCR confidence are synthetic
DOC-00006,M001,DGMS Inspection Report,M001_dgms_inspection_report_06.pdf,DGMS,2025-09-13,,Safety Officer,2026-09-02T13:40:00,/demo_documents/M001/DOC-00006.pdf,"Synthetic extracted text for DGMS Inspection Report; supports OCR, parsing and compliance workflow tests.",YES,0.86,VERIFIED_DEMO,CMP-M001-006,DEMO_SYNTHETIC,Metadata/text and OCR confidence are synthetic
DOC-00007,M001,Safety Audit Report,M001_safety_audit_report_07.pdf,Mine Management,2025-02-28,,Safety Officer,2026-09-02T12:10:00,/demo_documents/M001/DOC-00007.pdf,"Synthetic extracted text for Safety Audit Report; supports OCR, parsing and compliance workflow tests.",YES,0.773,NEEDS_REVIEW,CMP-M001-007,DEMO_SYNTHETIC,Metadata/text and OCR confidence are synthetic
DOC-00008,M001,Contractor Licence,M001_contractor_licence_08.pdf,Contractor / Labour Compliance,2026-07-31,2027-01-27,HR Officer,2026-09-02T16:30:00,/demo_documents/M001/DOC-00008.pdf,"Synthetic extracted text for Contractor Licence; supports OCR, parsing and compliance workflow tests.",YES,0.888,VERIFIED_DEMO,CMP-M001-008,DEMO_SYNTHETIC,Metadata/text and OCR confidence are synthetic
DOC-00009,M001,Worker Training Certificate,M001_worker_training_certificate_09.pdf,Mine Training Department,2026-06-23,2026-12-20,Safety Officer,2026-09-02T09:50:00,/demo_documents/M001/DOC-00009.pdf,"Synthetic extracted text for Worker Training Certificate; supports OCR, parsing and compliance workflow tests.",NO,0.973,VERIFIED_DEMO,CMP-M001-009,DEMO_SYNTHETIC,Metadata/text and OCR confidence are synthetic
DOC-00010,M001,Equipment Fitness Certificate,M001_equipment_fitness_certificate_10.pdf,Mine Mechanical Department,2025-06-12,2026-06-12,Safety Officer,2026-09-02T10:30:00,/demo_documents/M001/DOC-00010.pdf,"Synthetic extracted text for Equipment Fitness Certificate; supports OCR, parsing and compliance workflow tests.",NO,0.961,VERIFIED_DEMO,CMP-M001-010,DEMO_SYNTHETIC,Metadata/text and OCR confidence are synthetic
DOC-00011,M001,Environmental Monitoring Report,M001_environmental_monitoring_report_11.pdf,Environment Department,2024-10-16,,Safety Officer,2026-09-02T15:30:00,/demo_documents/M001/DOC-00011.pdf,"Synthetic extracted text for Environmental Monitoring Report; supports OCR, parsing and compliance workflow tests.",NO,0.963,VERIFIED_DEMO,CMP-M001-011,DEMO_SYNTHETIC,Metadata/text and OCR confidence are synthetic
DOC-00012,M001,Emergency / Mock Drill Report,M001_emergency___mock_drill_report_12.pdf,Mine Safety Department,2026-02-20,,Safety Officer,2026-09-02T16:30:00,/demo_documents/M001/DOC-00012.pdf,"Synthetic extracted text for Emergency / Mock Drill Report; supports OCR, parsing and compliance workflow tests.",YES,0.966,VERIFIED_DEMO,CMP-M001-012,DEMO_SYNTHETIC,Metadata/text and OCR confidence are synthetic
DOC-00013,M002,Environmental Clearance,M002_environmental_clearance_01.pdf,MoEFCC/PARIVESH,2024-10-18,,HR Officer,2026-09-02T10:10:00,/demo_documents/M002/DOC-00013.pdf,"Synthetic extracted text for Environmental Clearance; supports OCR, parsing and compliance workflow tests.",NO,0.967,VERIFIED_DEMO,CMP-M002-001,DEMO_SYNTHETIC,Metadata/text and OCR confidence are synthetic
DOC-00014,M002,Consent to Operate,M002_consent_to_operate_02.pdf,State Pollution Control Board,2026-06-06,2026-12-03,Environment Officer,2026-09-02T16:50:00,/demo_documents/M002/DOC-00014.pdf,"Synthetic extracted text for Consent to Operate; supports OCR, parsing and compliance workflow tests.",YES,0.887,VERIFIED_DEMO,CMP-M002-002,DEMO_SYNTHETIC,Metadata/text and OCR confidence are synthetic
DOC-00015,M002,Consent to Establish,M002_consent_to_establish_03.pdf,State Pollution Control Board,2025-09-13,2026-03-12,Compliance Officer,2026-09-02T11:20:00,/demo_documents/M002/DOC-00015.pdf,"Synthetic extracted text for Consent to Establish; supports OCR, parsing and compliance workflow tests.",YES,0.761,NEEDS_REVIEW,CMP-M002-003,DEMO_SYNTHETIC,Metadata/text and OCR confidence are synthetic
DOC-00016,M002,Mining Plan,M002_mining_plan_04.pdf,Ministry of Coal / Competent Authority,2025-04-23,,Compliance Officer,2026-09-02T14:20:00,/demo_documents/M002/DOC-00016.pdf,"Synthetic extracted text for Mining Plan; supports OCR, parsing and compliance workflow tests.",YES,0.874,VERIFIED_DEMO,CMP-M002-004,DEMO_SYNTHETIC,Metadata/text and OCR confidence are synthetic
