mine_id,mine_name,company,subsidiary,state,district,mining_method,operational_status,latitude,longitude,lease_area_ha,production_capacity_mtpa,manager_role,data_source,data_note
M001,Korba East Demo OCP,Bharat Coal Demo Ltd,Central Coal Division,Chhattisgarh,Korba,OPENCAST,OPERATING,22.352,82.69,2450,18.0,Mine Manager,DEMO_SYNTHETIC,Synthetic mine identity/location/capacity for software testing
M002,Jharia North Demo UG,Bharat Coal Demo Ltd,Eastern Coal Division,Jharkhand,Dhanbad,UNDERGROUND,OPERATING,23.758,86.421,1320,2.4,Mine Manager,DEMO_SYNTHETIC,Synthetic mine identity/location/capacity for software testing
M003,Talcher West Demo OCP,National Coal Demo Corp,Mahanadi Demo Division,Odisha,Angul,OPENCAST,OPERATING,20.95,85.17,3100,25.0,Mine Manager,DEMO_SYNTHETIC,Synthetic mine identity/location/capacity for software testing
M004,Godavari Deep Demo UG,National Coal Demo Corp,Telangana Demo Division,Telangana,Peddapalli,UNDERGROUND,OPERATING,18.73,79.52,1680,3.1,Mine Manager,DEMO_SYNTHETIC,Synthetic mine identity/location/capacity for software testing
M005,Singrauli Central Demo OCP,Bharat Coal Demo Ltd,Northern Coal Division,Madhya Pradesh,Singrauli,OPENCAST,OPERATING,24.17,82.68,3600,30.0,Mine Manager,DEMO_SYNTHETIC,Synthetic mine identity/location/capacity for software testing
M006,Wardha South Demo Mixed,National Coal Demo Corp,Western Coal Division,Maharashtra,Chandrapur,MIXED,OPERATING,20.01,79.3,2100,6.5,Mine Manager,DEMO_SYNTHETIC,Synthetic mine identity/location/capacity for software testing
M007,Raniganj Deep Demo UG,Eastern Mining Demo Co,Eastern Demo Division,West Bengal,Paschim Bardhaman,UNDERGROUND,OPERATING,23.62,87.12,1450,2.0,Mine Manager,DEMO_SYNTHETIC,Synthetic mine identity/location/capacity for software testing
M008,Ib Valley Demo OCP,Eastern Mining Demo Co,Odisha Demo Division,Odisha,Jharsuguda,OPENCAST,OPERATING,21.82,83.92,2750,20.0,Mine Manager,DEMO_SYNTHETIC,Synthetic mine identity/location/capacity for software testing
M009,Hasdeo Demo Mixed,Bharat Coal Demo Ltd,Central Coal Division,Chhattisgarh,Koriya,MIXED,TEMPORARILY_CLOSED,23.3,82.35,1900,4.5,Mine Manager,DEMO_SYNTHETIC,Synthetic mine identity/location/capacity for software testing
M010,Bokaro Future Demo UG,Eastern Mining Demo Co,Jharkhand Demo Division,Jharkhand,Bokaro,UNDERGROUND,UNDER_DEVELOPMENT,23.69,85.99,1500,2.2,Project Manager,DEMO_SYNTHETIC,Synthetic mine identity/location/capacity for software testing
M011,Sohagpur Demo Mixed,National Coal Demo Corp,Central Demo Division,Madhya Pradesh,Shahdol,MIXED,REOPENING,23.3,81.35,1750,3.8,Mine Manager,DEMO_SYNTHETIC,Synthetic mine identity/location/capacity for software testing
M012,Old Valley Demo Mine,Eastern Mining Demo Co,Legacy Assets Division,West Bengal,Purulia,OPENCAST,FINAL_CLOSURE,23.33,86.36,980,0.0,Closure Manager,DEMO_SYNTHETIC,Synthetic mine identity/location/capacity for software testing
